sentence_de,emotion_de,emotion_en,sentence_en
Jetzt müssen Gemeinden die Steuern erhöhen,Überraschung,surprise,
Zehntausende protestieren in Wien gegen die Regierung Kurz,Unklar,neutral,
Google verbessert Kontrolle über gespeicherte Daten bei Web-Suche,Freude,happiness,
"1,12 Milliarden für Kultur",Unklar,neutral,
Schärfere Strafen für Sexualtäter in Polen,Antizipation,enthusiasm,
Travail.Suisse bekämpft vorgesehene Senkung der Unternehmenssteuern,Antizipation,enthusiasm,
"EU verhängt Rekordbusse von 4,34 Milliarden Euro gegen Google",Überraschung,surprise,
Brisante Helsana-Daten: Die meisten Patienten bekommen nach einem Herzinfarkt nicht die benötigten Medikamente,Angst,worry,
FDP will nicht mit der SVP zusammenspannen,Antizipation,enthusiasm,
Es tut sich mehr denn je hinter den Zürcher Theken,Freude,happiness,
«Jetzt können die Stammtisch-Diskussionen losgehen»,Antizipation,enthusiasm,
Kaum Zustimmung für Erhöhung des Rentenalters auf 67,Antizipation,enthusiasm,
16 Milliarden Franken Steuern für die AHV,Antizipation,enthusiasm,
Warum habt ihr mich gezeugt? – Ein Antinatalist macht seinen Eltern den Prozess,Überraschung,surprise,
Macron macht es niemandem recht,Antizipation,enthusiasm,
Atemlos in den Ständerat?,Freude,happiness,
Frickers Nachfolgerin Irène Kälin will Islam anerkennen,Ärger,anger,
Weniger Kosten durch effizienteren Umweltschutz,Überraschung,surprise,
Pillenpreise sofort runter!,Antizipation,enthusiasm,
Wie intelligent ist künstliche Intelligenz?,Antizipation,enthusiasm,
Kein Ausländerstimmrecht im Kanton Luzern,Vertrauen,love,
Wichtiger Schritt auf dem Weg zur Heilung von HIV,Vertrauen,love,
Kanton Waadt lässt häufig Dublin-Fristen verstreichen,Überraschung,surprise,
Kanton Luzern muss 2012 die Steuern erhöhen,Überraschung,surprise,
Platzt Matthews-Transfer wegen Migrationsamt?,Unklar,neutral,
Die schrecklich netten Familienförderer,Überraschung,surprise,
Ausstieg aus der Irrationalität,Antizipation,enthusiasm,
Russland jubelt über Doping-Sieg,Traurigkeit,sadness,
Lohnerhöhung für Putzfrauen und Kindermädchen umstritten,Antizipation,enthusiasm,
Racial Profiling: Bauchgefühl reicht in Zürich nicht für Polizeikontrolle,Antizipation,enthusiasm,
Duma will US-Familien Adoption russischer Kinder verbieten,Traurigkeit,sadness,
Künstliche Intelligenz stellt uns vor viele Fragen – wie klingt zum Beispiel Musik in ihren Ohren?,Antizipation,enthusiasm,
Richter erkennen kein «Racial Profiling»,Vertrauen,love,
Die Islam-Organisationen müssen sich selber hinterfragen,Ärger,anger,
«Ehe für alle ist Ehe für keinen»,Ärger,anger,
Für eine Steuer auf Robotern,Vertrauen,love,
Verfassungswidrige Besteuerung des Eigenmietwerts auf Zweitliegenschaften,Ärger,anger,
Die Kantone gefährden sensible Daten ihrer Bürger,Überraschung,surprise,
Künstliche Intelligenz besser bei Hautkrebsdiagnose als Ärzte,Überraschung,surprise,
Zum politischen Engagement der Kirche,Vertrauen,love,
