sentence,emotion
Österreichs Verfassungsgericht ermöglicht die «Ehe für alle»,Freude
Noch nie arbeitete der Mensch so wenig wie heute,Überraschung
Masern: Erste Kindertagesstätten nehmen keine Kinder ohne Impfung auf,Ärger
Der Staat ist schuld! Mehr Staat muss her!,Ärger
Von Viagra bis Antibiotika: Der Handel mit gefälschten Medikamenten floriert in Afrika,Traurigkeit
Auch Islam-Kritik muss möglich sein,Ärger
Die Kinder von 5010 – Teil 2: Warum das Schicksal herausfordern?,Unklar
"«Es war nicht meine Schuld, egal, wo ich war oder was ich anhatte. Der Vergewaltiger bist du!»: Ein choreografierter Protestsong gegen Gewalt gegen Frauen geht von Chile aus um die Welt",Unklar
Visana gewinnt erneut Kunden,Freude
Umweltrisiken am WEF: «Zwischen Klimaschutz und Profit besteht kein Zielkonflikt»,Unklar
Veganes Essen per Gesetz? Wie kleine Gruppen die Debatte um unser Essen zuspitzen,Unklar
"Adoptiert zu sein, ist auch normal",Vertrauen
Was ist an einem Wein nicht vegan?,Unklar
Im Online-Handel sind nicht alle Kunden gleich,Ärger
Die Kantonspolizei setzt vermehrt auf Prävention,Unklar
Dynamische Preise haben Ärgerpotenzial,Unklar
Kuriose Preispolitik in der Kommissions-Kantine,Überraschung
Diese Sehnsucht nach dem Prüden,Ärger
Die erneuerbaren Energien sind unaufhaltbar,Antizipation
Frankreich rettet den Planeten noch nicht,Ärger
Jetzt wird es ernst mit der Konkurrenz für die Banken,Unklar
Ist Zuckerberg eigentlich verrückt geworden?,Ärger
Die Schweizer sind reicher als je zuvor,Unklar
"Politisch korrekte Ernährung: An der Frage, was auf den Teller kommt, scheiden sich die Geister",Unklar
Vegi-Burger im «Helvti Diner»: Mampfen und Mimikry,Unklar
Brisante Helsana-Daten: Die meisten Patienten bekommen nach einem Herzinfarkt nicht die benötigten Medikamente,Angst
Bitcoin-Rekord! – Aber Abspaltungen verunsichern die Investoren,Vertrauen
Das Tessin erfindet den Inländervorrang «light» für Unternehmen,Unklar
Britische Pharma klagt gegen Ausgabengrenze für neue Medikamente,Unklar
Um den Kaffeeröster Darboven entspinnt sich ein bizarrer Familienstreit,Überraschung
Für die SP-Männer wird die Luft an der Parteispitze dünner,Unklar
Französischer Wachkomapatient muss am Leben erhalten werden – der Fall spaltet die Familie,Traurigkeit
Zur Rose muss wachsen – und tut das auch,Überraschung
Was ist in den Bitcoin gefahren?,Unklar
Der #MeToo-Backlash rollt an,Traurigkeit
Und wieder einmal vollführt der Bitcoin Kurssprünge,Unklar
Wenn die Ferien im Spital enden statt am Strand,Unklar
"Versicherungen zu vergleichen, lohnt sich",Unklar
Nestlé verstärkt Health Science,Vertrauen
Bitcoin-Spaltung akzentuiert Blase,Angst
Zwei oder drei Grad Erwärmung machen Unterschied,Angst
Pop-Stars landen Krypto-Hits und Coin-Ladenhüter,Überraschung
Schwere Komplikationen nach Knieoperation: Krankenkasse muss 1 Million Franken bezahlen,Unklar
Rechtsstreit um Kita-Broschüre endet mit Sieg für Kritiker,Unklar
Die EU treibt die Energiewende voran,Unklar
Wenn schon Bitcoin – dann so,Vertrauen
Der Bitcoin taucht und taucht,Unklar
Hamburg darf hoffen  – Köln steigt ab,Keine
Weltweit werden pro Tag 137 Frauen von Vertrauten ermordet,Traurigkeit
Einkaufstourismus auf ärztliches Rezept,Ärger
Wann öffnet die erste Rund-um-die-Uhr-Krippe?,Freude
Das Gericht spricht eine Sterbehelferin vom Vorwurf der vorsätzlichen Tötung frei – es ist ein wegweisendes Urteil,Unklar
Unbegründete Angst vor dem Islam,Unklar
"Was es braucht, den Islam mit der säkularen freien Gesellschaft kompatibel zu machen",Unklar
Die Migros setzt in Asien auf Kosmetik,Unklar
"Wer viele Stunden arbeitet, ist nicht unbedingt auch fleissig",Unklar
Schon heute sind in der Schweiz 64-Stunden-Wochen möglich,Ärger
Asiens veganes Herz,Freude
Der Mythos ihrer Weiblichkeit hilft den osteuropäischen Frauen auch nicht weiter,Traurigkeit
«Der Suizid ist ein Riesenschritt. Das ist nicht wie das Streichen eines Brötchens»,Unklar
Klimawandel und Biodiversität: Die Hälfte aller Insekten und Pflanzen könnte grossflächig verschwinden,Unklar
Nationalrat debattiert über günstigere Kinderbetreuung,Unklar
Die Demokratie ist sich selbst der grösste Feind,Angst
Zwei Schöne beim Liebesspiel – eine Männerphantasie?,Unklar
Symbolfigur im Kleid einer Pragmatikerin,Unklar
Ohne konkrete Massnahmen bleiben die hochtrabenden Klimaziele des Bundesrats bloss gut gemeinte Visionen,Ärger
Franchisen sollen mit den Kosten wachsen,Keine
Wir lassen uns beim Essen nicht bevormunden,Unklar
Digitalisierung in der Kita: per App über jedes Bäuerchen des Kindes informiert,Unklar
Gut gemeint ist noch nicht gut gemacht,Unklar
"Zwackt die Kita-Kette Globegarden ihren Mitarbeitenden gesetzeswidrig Geld ab? Nein, sagt ein Rechtsprofessor",Unklar
Zu wenig zum Wenden des Tankers,Unklar
Dignitas-Gründer in Pilotprozess freigesprochen,Unklar
SP-Nationalrat Nordmann: «Die AKW-Betreiber wollen bloss ihre Beiträge kürzen»,Unklar
Facebooks Kryptowährung Libra rückt die Schweiz ins Visier der USA,Keine
Gesundheitskosten: Statt noch mehr Regulierung braucht es richtige Anreize,Ärger
"Auch Musliminnen haben das Recht, nicht missbraucht zu werden",Unklar
Die Bedürfnisse von Sterbenden sollen besser berücksichtigt werden,Unklar
"Diese Frauen haben keine Zeit, in sozialen Medien an Revolutionen teilzunehmen",Vertrauen
Die Angst der Frauen vor der Aktie,Unklar
Direktdemokratische Selbstbestimmung ist essenziell,Unklar
So sparen Sie bei den Krankenkassenprämien,Unklar
Sterbehilfe für eine Volksinitiative,Unklar
Der Schweizer Gesundheitsmarkt braucht mehr Wettbewerb,Vertrauen
Australiens ältester Wissenschafter ist in der Schweiz angekommen – er will hier sterben,Unklar
Säuliamt wandelt sich zur Goldküste,Überraschung
Das Repräsentantenhaus wird weiblicher – ein Vorbild sind die USA trotzdem nicht,Überraschung
"Die Kita-Finanzierung verändert sich: Was Gutscheine damit zu tun haben, und warum ihre landesweite Einführung umstritten ist",Vertrauen
Krankenkasse ist nicht gleich Krankenkasse,Antizipation
Die Ehe für alle ist unterwegs,Unklar
Eine italienische Journalistin spricht öffentlich über ihren Krebs. Dafür wird sie gefeiert – und verteufelt,Traurigkeit
