sentence_de,emotion_de,emotion_en,sentence_en
Jetzt müssen Gemeinden die Steuern erhöhen,Überraschung,surprise,Now municipalities have to increase taxes
Zehntausende protestieren in Wien gegen die Regierung Kurz,Unklar,neutral,Tens of thousands protest in Vienna against the government briefly
Google verbessert Kontrolle über gespeicherte Daten bei Web-Suche,Freude,happiness,Google improves control over saved data in web search
"1,12 Milliarden für Kultur",Unklar,neutral,1.12 billion for culture
Schärfere Strafen für Sexualtäter in Polen,Antizipation,enthusiasm,Sharper penalties for sex offenders in Poland
Travail.Suisse bekämpft vorgesehene Senkung der Unternehmenssteuern,Antizipation,enthusiasm,Travail.suisse fights intended reduction in corporate taxes
"EU verhängt Rekordbusse von 4,34 Milliarden Euro gegen Google",Überraschung,surprise,EU imposes record buses of 4.34 billion euros against Google
Brisante Helsana-Daten: Die meisten Patienten bekommen nach einem Herzinfarkt nicht die benötigten Medikamente,Angst,worry,Explosive Helsana data: Most patients do not receive the required medication after a heart attack
FDP will nicht mit der SVP zusammenspannen,Antizipation,enthusiasm,FDP does not want to span the SVP
Es tut sich mehr denn je hinter den Zürcher Theken,Freude,happiness,It happens more than ever behind the Zurich counter
«Jetzt können die Stammtisch-Diskussionen losgehen»,Antizipation,enthusiasm,"""Now the regulars' discussions can start"""
Kaum Zustimmung für Erhöhung des Rentenalters auf 67,Antizipation,enthusiasm,Hardly consent to increase the retirement age to 67
16 Milliarden Franken Steuern für die AHV,Antizipation,enthusiasm,CHF 16 billion taxes for the AHV
Warum habt ihr mich gezeugt? – Ein Antinatalist macht seinen Eltern den Prozess,Überraschung,surprise,Why did you cause me?- An anti -talist makes his parents the process
Macron macht es niemandem recht,Antizipation,enthusiasm,Macron does not please anyone
Atemlos in den Ständerat?,Freude,happiness,Breathless to the Council of States?
Frickers Nachfolgerin Irène Kälin will Islam anerkennen,Ärger,anger,Fricker's successor Irène Kälin will recognize Islam
Weniger Kosten durch effizienteren Umweltschutz,Überraschung,surprise,Less costs due to more efficient environmental protection
Pillenpreise sofort runter!,Antizipation,enthusiasm,Pill prices immediately down!
Wie intelligent ist künstliche Intelligenz?,Antizipation,enthusiasm,How intelligent is artificial intelligence?
Kein Ausländerstimmrecht im Kanton Luzern,Vertrauen,love,No right to vote in the canton of Lucerne
Wichtiger Schritt auf dem Weg zur Heilung von HIV,Vertrauen,love,Important step on the way to healing HIV
Kanton Waadt lässt häufig Dublin-Fristen verstreichen,Überraschung,surprise,Canton of Vaud often lets Dublin periods spread
Kanton Luzern muss 2012 die Steuern erhöhen,Überraschung,surprise,Canton of Lucerne has to increase taxes in 2012
Platzt Matthews-Transfer wegen Migrationsamt?,Unklar,neutral,Does Matthews transfer burst because of a migration office?
Die schrecklich netten Familienförderer,Überraschung,surprise,The terribly nice family sponsors
Ausstieg aus der Irrationalität,Antizipation,enthusiasm,Exit from irrationality
Russland jubelt über Doping-Sieg,Traurigkeit,sadness,Russia cheers about doping victory
Lohnerhöhung für Putzfrauen und Kindermädchen umstritten,Antizipation,enthusiasm,Wage increase for cleaning women and nanny controversial
Racial Profiling: Bauchgefühl reicht in Zürich nicht für Polizeikontrolle,Antizipation,enthusiasm,Racial profiling: Gut feeling in Zurich is not enough for police control
Duma will US-Familien Adoption russischer Kinder verbieten,Traurigkeit,sadness,Duma wants to prohibit US families adoption of Russian children
Künstliche Intelligenz stellt uns vor viele Fragen – wie klingt zum Beispiel Musik in ihren Ohren?,Antizipation,enthusiasm,"Artificial intelligence gives us many questions - how does music sound in your ears, for example?"
Richter erkennen kein «Racial Profiling»,Vertrauen,love,"Judge does not recognize any ""racial profiling"""
Die Islam-Organisationen müssen sich selber hinterfragen,Ärger,anger,The Islam organizations have to question themselves
«Ehe für alle ist Ehe für keinen»,Ärger,anger,"""Before everyone is a marriage for none"""
Für eine Steuer auf Robotern,Vertrauen,love,For a tax on robots
Verfassungswidrige Besteuerung des Eigenmietwerts auf Zweitliegenschaften,Ärger,anger,Constitutional taxation of the own rental value on two properties
Die Kantone gefährden sensible Daten ihrer Bürger,Überraschung,surprise,The cantons endanger sensitive data from their citizens
Künstliche Intelligenz besser bei Hautkrebsdiagnose als Ärzte,Überraschung,surprise,Artificial intelligence better with skin cancer diagnosis than doctors
Zum politischen Engagement der Kirche,Vertrauen,love,To the political commitment of the church
Wachkoma-Patient in Argentinien nach Urteil ohne Eingriff gestorben,Vertrauen,love,Wachkoma patient in Argentina died without intervention after judgment
Unter Ursula von der Leyen muss die EU sich erneuern – kann sie das Korsett der nationalen Parteien sprengen?,Antizipation,enthusiasm,"Under Ursula von der Leyen, the EU has to renew itself - can it go beyond the corset of the national parties?"
Teure Lücken im Schweizer Bildungswesen,Angst,worry,Expensive gaps in Swiss education
Erste positive Crispr-Studie begeistert die Wall Street,Angst,worry,The Wall Street inspires the first positive crispr study
Warum Venezuela eine Kryptowährung bastelt,Antizipation,enthusiasm,Why Venezuela is making a cryptocurrency
«Es braucht das Strafrecht nicht wegen jedem Hundegebell»,Antizipation,enthusiasm,"""The criminal law doesn't need because of every bark of dogs"""
Kulturförderung: Erneut mehr Geld für die Giesskanne,Antizipation,enthusiasm,Culture promotion: again more money for the casting can
"Klimasünder zahlen, Klimaschützer kassieren",Freude,happiness,"Pay climate offices, collect climate protectors"
