emotion_en,sentence_en,emotion_de,sentence_de
sadness,"sorry mum, will treat you well from now on",Traurigkeit,"Entschuldigung, Mama, werde Sie von nun an gut behandeln"
hate,"i hate snoring. remind me if my future husband ever snores, we're getting a divorce.",Ekel,"Ich hasse es zu schnarchen.Erinnern Sie mich daran, wenn mein zukünftiger Ehemann jemals schnarcht, wir haben eine Scheidung."
surprise,"And I end up in privilege... Oh well, at least I met a cute engineer",Überraschung,"Und ich lande im Privileg ... na ja, zumindest habe ich einen süßen Ingenieur getroffen"
worry,Tasha's really bad haircut. She's being treated for skin cancer and is shaved from neck to tail.  http://twitpic.com/671zy,Angst,Tasha ist wirklich schlechter Haarschnitt.Sie wird wegen Hautkrebs behandelt und wird von Nacken zu Schwanz rasiert.http://twitpic.com/671zy
sadness,I miss my mom..  &quot;May angels lead you in&quot;,Traurigkeit,Ich vermisse meine Mutter.
surprise,@laurenceobrien Thank you  xo,Überraschung,@laurenceobrien danke xo
surprise,The chicken noodle soup I made for lunch to feel better just burned my tongue . . .not a good day.,Überraschung,"Die Hühnernudelsuppe, die ich zum Mittagessen gemacht habe, um mich besser zu fühlen, verbrannte nur meine Zunge...Kein guter Tag."
worry,Being dragged round Ikea this morning  Bad times!,Angst,Heute Morgen um IKEA umzog!
happiness,seniors done  5 more days!! woohoo!! going out for the night.,Freude,Senioren haben noch 5 Tage gemacht !!woohoo !!für die Nacht ausgehen.
worry,"...wait, I lied.",Angst,"... warte, ich habe gelogen."
love,@jessie_ho i like the sound of that,Vertrauen,@Jessie_Ho Ich mag den Klang davon
neutral,@katyperry i think it's under a honeymoon by the good life -- either that or it's under a honey moon by joseph arthur.,Unklar,"@katyperry Ich denke, es steht im guten Lebens unter einer Flitterwochen - entweder das oder es unter einem Honigmond von Joseph Arthur."
happiness,"@shanellelee OOooOO -- no, I have not! Glad to hear it was incredible, though! I still have it bookmarked to try sometime",Freude,"@shanellelee oooooo - Nein, ich habe es nicht!Ich bin froh zu hören, dass es unglaublich war!Ich habe es immer noch mit einem Lesezeichen versehen, um es irgendwann zu versuchen"
happiness,@kelseyrose56 I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom? @nicolesx319 Can't wait for preprom!!!!,Freude,@Kelseyrose56 Ich wünschte du würdest auch gehen!Kommst du immer noch zu Nicoles Prefrom?@nicolesx319 kann es kaum erwarten auf Prefrom !!!!
happiness,mrskutcher &amp; aplusk you two are to funny!,Freude,Fraukutcher & amp;Aplusk ihr zwei seid lustig!
surprise,"@aussiecynic Blow me away it IS raining harder here. Yay you, well done",Überraschung,"@ausiecynic blase mich weg, es regnete hier härter.Ja, gut gemacht"
neutral,@Yaelzraw fell asleep with techno songs on shuffle. Loud.  Its been on for hours. Im too lazy to go turn it off. He has like 800,Unklar,"@Yaelzraw schlief mit Techno -Songs auf Shuffle ein.Laut.Es ist stundenlang eingeschaltet.Ich bin zu faul, um es auszuschalten.Er hat wie 800"
worry,a bit worried...,Angst,ein wenig besorgt...
sadness,"Misses JP  I do not know what to do and iv given myself a headache thinking about it, just makes me want to cry",Traurigkeit,"Misse JP Ich weiß nicht, was ich tun soll, und ich habe mir Kopfschmerzen vorbereitet, wenn ich darüber nachdachte, bringt mich nur zum Weinen"
worry,@StaceMichelle I doubt I'll get one to be honest,Angst,"@Stacemichelle Ich bezweifle, dass ich einen dazu bringen werde, ehrlich zu sein"
worry,@Desert_Star95 oh so you know how I feel then  Damn representative for bank of america tried to make it sound like I did it. What a b ...,Angst,"@Desert_Star95 Oh, also weißt du, wie ich mich dann verdammt repräsentativ für die Bank of America fühle.Was für ein B ..."
happiness,"@andrewbravener Happy Birthday!  What's better than getting birthday greetings from strangers? Very little, that's what! (I kid!) &lt;3",Freude,"@Andrewbravener Alles Gute zum Geburtstag!Was gibt es Schöneres, als Geburtstagsgrüße von Fremden zu bekommen?Sehr wenig, das ist was!(Ich Kind!) & Lt; 3"
worry,"Damn, looks like the USB card reader that I got from Dealextreme doesn't work. I can see the files on the card but they are read only",Angst,"Verdammt, sieht aus wie der USB -Kartenleser, den ich von DeeaLextreme bekommen habe.Ich kann die Dateien auf der Karte sehen, aber sie werden nur gelesen"
happiness,hollie steel  bless her. but go dreambears &lt;33333 hahahahaha,Freude,Hollie Steel segne sie.Aber gehen Sie Dreambears & lt; 33333 hahahahaha
love,@luannarodham nothing sweeter than YOUR 4-year-old!,Vertrauen,@luannarodham nichts süßer als dein 4-Jähriger!
neutral,@TerriCook  oh hi terri good now what about you? any good gossip,Unklar,@Terricook oh hi terri gut nun was ist mit dir?Jeder gute Klatsch
sadness,RIP to officer Edwards. May GOD continue to bless his family. What's up wit cops killing cops. Seen the same thing happen on &quot;The WIRE&quot;.,Traurigkeit,"RIP zu Officer Edwards.Möge Gott seine Familie weiterhin segnen.Was ist los mit Polizisten, die Polizisten töten?Das Gleiche passierte in ""The Wire""."
happiness,Happy Mothers Day,Freude,Schönen Muttertag
hate,"@snowgirlsungirl I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY FUCK UP, Christ",Ekel,"@Snowgirlsungirl Ich bin sicher, dass jedes Büro sie hat.Männer und Frauen ohne Fähigkeit zu erkennen, dass sie den unheiligen Fick schließen sollten, Christus"
hate,feels so used I hate guys grrrr,Ekel,"fühlt sich so gebraucht an, ich hasse Jungs grrrrrr"
happiness,@taylorswift13 I created my account just to get a chance to chat with you (: I ADMIRE YOU! you're amazing! you inspire me to write  &lt;3,Freude,"@Taylorswift13 Ich habe mein Konto erstellt, um mit Ihnen zu chatten (: Ich bewundere Sie! Sie sind unglaublich! Sie inspirieren mich zum Schreiben & lt; 3"
worry,Complicated with a dream,Angst,Kompliziert mit einem Traum
love,wishes Happy Mother's Day!,Vertrauen,Wünsche den glücklichen Muttertag!
surprise,"@esmebella Kk, I just had 888 followers like a minute ago",Überraschung,"@esmebella kk, ich hatte gerade 888 Follower wie vor einer Minute"
sadness,Left Cali this morning...in Dallas now..missing my car SO MUCH!!!,Traurigkeit,Ich habe Cali heute Morgen verlassen ... jetzt in Dallas ... mein Auto so sehr aufmerksam gemacht !!!
sadness,"@dragonblogger My pleasure  I really enjoy your random word poetry, and am disappointed when I miss out on participating!",Traurigkeit,"@dragonblogger mein Vergnügen Ich genieße deine zufällige Wortdichte und bin enttäuscht, wenn ich die Teilnahme verpasse!"
neutral,hmmmm.... i wonder how she my number @-),Unklar,"Hmmmm .... Ich frage mich, wie sie meine Nummer @-)"
neutral,Watching ET today!  &lt;3 Supposed to have a clip from New Moon  Hating Drag Me To Hell,Unklar,"Beobachten Sie ET heute!& lt; 3 soll einen Clip von Neumond Hass haben, ziehen mich in die Hölle"
neutral,@whyinthehell Yoko Ono - Ben Lee  - ? http://lala.com/zAd It's easy.,Unklar,WHYINTHEHELL YOKO ONO - Ben Lee -?http://lala.com/zad Es ist einfach.
happiness,is really really ready!,Freude,ist wirklich wirklich bereit!
worry,My shirt is a fuzz magnet today and I feel totally uncomfortable,Angst,Mein Hemd ist heute ein Fuzz -Magnet und ich fühle mich total unangenehm
happiness,@starangel82 @darkheath @140lover Everyone's going to think I'm a gold digger  Hahahaha,Freude,"@starEngel82 @darkheath @140Lover alle werden denken, ich bin ein goldener Bagger Hahahaha"
worry,@fortrel The newest versions are not any better,Angst,@Fortrel Die neuesten Versionen sind nicht besser
neutral,and now! ITS #starwarsday!!!! To celebrate i should watch some star wars  - Richard,Unklar,und nun!Es ist #Starwarsday !!!!Zum Feiern sollte ich ein paar Star Wars sehen - Richard
worry,@dpressman well well...so sorry! let's dance  it's fabulous hobby,Angst,"@dpressman gut gut ... es tut mir leid!Lass uns tanzen, es ist fabelhaftes Hobby"
worry,my tummy hurts  i blame last night's chinese food.,Angst,"Mein Bauch tut weh, ich beschuldige das chinesische Essen der letzten Nacht."
neutral,@nmyster Thought you might be interested in @TweetPhoto http://tweetphoto.com. See who's viewing your photos!,Unklar,"@nmyster dachte, Sie könnten an @tweetphoto http://tweetphoto.com interessiert sein.Sehen Sie, wer Ihre Fotos anzeigt!"
neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week,Unklar,"Lil Ken liebt und sich absolut fürchtete, sich in weniger als einer Woche zu verabschieden"
neutral,Yes man was good,Unklar,"Ja, der Mann war gut"
neutral,everyone should listen to Hadouken. they're fun,Unklar,Jeder sollte Hadouken hören.Sie haben Spaß
love,"@BenPlouviez Lol - we're like polar opposites, Ben! Maybe that's why we get on so well",Vertrauen,"@Benplouviez lol - Wir sind wie polare Gegensätze, Ben!Vielleicht verstehen wir deshalb so gut"
sadness,Low profile tires suck! They won't have my size in until monday,Traurigkeit,Low -Profil -Reifen saugen!Sie haben meine Größe erst am Montag
neutral,@toreo that's cuz you're cruising the twitter #nightshift now,Unklar,"@toreo Das ist, weil du jetzt den Twitter #nightShift kreuzen hast"
neutral,@stephbfly Truly? Like what?,Unklar,@stephbfly wirklich?Wie was?
hate,Hates that my a.c doesn't work! Its so hot,Ekel,"Hasst, dass mein A.C nicht funktioniert!Es ist so heiß"
sadness,Sulking at home while it rained was poor strategy.  Now i'm watching the sun shine from a desk in the Robarts reference room.,Traurigkeit,"Schmollen zu Hause, während es regnete, war eine schlechte Strategie.Jetzt beobachte ich, wie die Sonne von einem Schreibtisch im Robarts Referenzraum leuchtet."
worry,Fuccin bacc hurts now. Just dragged the long blocc on a piece of wood. From the corner to in my garage.,Angst,Fuccin Bacc tut jetzt weh.Ziehen Sie gerade den langen Block auf ein Stück Holz.Von der Ecke in meine Garage.
surprise,Oh no!  Nighty night.,Überraschung,Ach nein! Gute Nacht.
sadness,"Ben &amp; Jerry's fail. Got email for free ice cream. Says click here to redeem coupon. When I click, I get error message  @cherrygarcia",Traurigkeit,"Ben & amp;Jerry scheitert.Ich habe E -Mail für kostenloses Eis.Klicken Sie hier, um den Gutschein einzulösen.Wenn ich klicke, erhalte ich Fehlermeldung @Cherrygarcia"
neutral,"@HelenWraight i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",Unklar,"@Helenwraight Ich denke, ich bin ein bisschen in seine Kreationen und seinen Witz verliebt, aber nicht so körperlich von ihm angezogen, obwohl er einen tollen Stil hat"
neutral,@Jayme1988 not really sure. need to deposit and save some money,Unklar,@Jayme1988 Nicht wirklich sicher.müssen hinterlegen und etwas Geld sparen
worry,"#Ferber As happens every few days, Rohan woke up unhappy at midnight.  The good/bad news is that I was still awake, due to afternoon nap",Angst,"#Ferber wie alle paar Tage wachte Rohan um Mitternacht unglücklich auf.Die gute/schlechte Nachricht ist, dass ich aufgrund des Nickerchens am Nachmittag noch wach war"
worry,Probably because it wasnt a command...bet you dont understand pay out on fantasy football either  ..droids   Look out for @eCouchCoach,Angst,"Wahrscheinlich, weil es kein Befehl war ... wette, Sie verstehen auch nicht, dass Sie sich für Fantasy -Fußball auszahlen."
worry,You guys dont get too drunk without me,Angst,Ihr seid ohne mich nicht zu betrunken
love,"Happy Mother's Day to all the amazing women who put up with us crazy, demanding children. Thank you.  Very very much.",Vertrauen,"Glücklicher Muttertag an all die erstaunlichen Frauen, die uns verrückt machen und Kinder fordern.Danke schön.Sehr sehr viel."
worry,"@ceichstaedt I guess it'll work under fusion. Otherwise you'll have to boot directly to Vista just to do some online banking, which sucks",Angst,"@ceichstaedt Ich denke, es wird unter Fusion funktionieren.Andernfalls müssen Sie direkt nach Vista booten, um ein Online -Banking zu machen, was scheiße ist"
happiness,Clive it's my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106,Freude,"Clive Es ist mein Geburtstag, pate mich http://apps.facebook.com/dogbook/profile/view/6386106"
sadness,@misssammibaby why are you sad?,Traurigkeit,@misssammibaby Warum bist du traurig?
hate,Windows updates suck. There are so freaking many of them.,Ekel,Windows -Updates saugen.Es gibt so verdammt viele von ihnen.
neutral,"I left a chocolate egg sitting in my office, and now it's calling my name......................",Unklar,"Ich habe ein Schokoladenei in meinem Büro gelassen, und jetzt nennt es meinen Namen ......................"
worry,Haven't eaten all day  I need food...,Angst,"Ich brauche nicht den ganzen Tag, ich brauche Essen ..."
hate,how to get rid of your followers step 1: announce that you're unfollowing people who give you the shits... everyone assumes you mean THEM,Ekel,"Wie Sie Ihre Follower loswerden können, Schritt 1: Gibt an, dass Sie Menschen, die Ihnen die Scheiße geben"
love,Thank you all once more for all your lovely birthday messages,Vertrauen,Vielen Dank noch einmal für all Ihre schönen Geburtstagsnachrichten
neutral,3/4 through project car 1.,Unklar,3/4 über Project Car 1.
sadness,@joycewaddle like almost above my sholders,Traurigkeit,@joycewaddle wie fast über meinen Schultern
sadness,@kurtismarsh Too far to go unless the prize is in the millions.  We know who wins,Traurigkeit,"@kurtismarsh zu weit, um zu gehen, es sei denn, der Preis ist in den Millionen.Wir wissen, wer gewinnt"
love,@unknownnunes Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside,Vertrauen,"@UneNownnunes Guten Morgen an Sie! Vielen Dank, dass Sie so nett sind?Die Sonne ist draußen und ich werde draußen malen"
love,@keithbrooks Glad to see you're still around,Vertrauen,"@keithbrooks froh zu sehen, dass du noch in der Nähe bist"
worry,Sunburn ouch,Angst,Sonnenbrand Autsch
neutral,I hit up that special and ordered a sound bar from woot.com.,Unklar,Ich habe dieses Special geschlagen und eine Soundbar von Woot.com bestellt.
enthusiasm,Ar work bored...hope Tiff gets here soon then the fun can start,Antizipation,"Ararbeit gelangweilt ... Hoffe, Tiff kommt bald hierher, dann kann der Spaß beginnen"
worry,A year from now is graduation....i am pretty sure i'm not ready for it!?!?!?,Angst,"In einem Jahr ist der Abschluss .... Ich bin mir ziemlich sicher, dass ich nicht bereit bin!?!?!?"
worry,yeah its Friday! I thought my sis was coming into town turns out she is not!!  so sad! i miss my babies!!!,Angst,"Ja, es ist Freitag!Ich dachte, meine Schwester würde in die Stadt kommen, dass sie nicht ist !!so traurig!Ich vermisse meine Babys !!!"
sadness,@xxxmaggie oh that sucks  I'm sorry.,Traurigkeit,"@xxxmaggie oh das ist scheiße, es tut mir leid."
neutral,"@BastetAsshur  trying tweetdeck, have seen, you are twittering with that programme, so I thought, I should give it a try",Unklar,"@Bastetasshur versucht Tweetdeck, habe gesehen, du twitterst mit diesem Programm, also dachte ich, ich sollte es versuchen"
worry,@noisemaker_ aww thats too bad you lost it though,Angst,"@noisemaker_ aww das ist schade, dass du es aber verloren hast"
happiness,@m1dnightc1ty I do too!! Sounds interesting,Freude,@M1dnightc1ty Ich mache es auch !!Hört sich interessant an
worry,walking past the school i went to junior high in as it's being torn down,Angst,"Als ich an der Schule vorbei ging, ging ich zu Junior High, als sie abgerissen wird"
worry,"@misspostit Na, ya ando pelon",Angst,"@Miss mail na, ya ando Angst"
neutral,Need a nap  but I have to take 4 trains now,Unklar,"Benötigen Sie ein Nickerchen, aber ich muss jetzt 4 Züge nehmen"
neutral,"alright, back from my twitter decompression  Happy monday folks, what's the good word?",Unklar,"Okay, zurück von meiner Twitter -Dekompression Happy Monday Leute, was ist das gute Wort?"
worry,@michau Sounds like a good five days,Angst,@Michau klingt nach guten fünf Tagen
sadness,@chocolovere i feel the same way every day,Traurigkeit,@chocolovere Ich fühle mich jeden Tag genauso
neutral,Going to bed now...good night tweeters,Unklar,Jetzt ins Bett gehen ... gute Nachthaartöner
sadness,"Spyed Princess Anne today, and listented to all my friends cooking up the perfect evening, Working sucks for me and OB ?",Traurigkeit,"Prinzessin Anne war heute gepauft und hörte allen meinen Freunden zu, den perfekte Abend kochen, Arbeiten für mich und OB?"
worry,"uff - hard to get going today, up half the night with 6 year old son",Angst,"UFF - Es ist schwer, heute in Gang zu gehen, die halbe Nacht mit 6 -jähriger Sohn"
neutral,"@shbbll Video a challenge when shot in not-so-scenic conference room with no mic, but thank you  Loved your Grant Park house &amp; DOGS!!!",Unklar,"@Shbbll Video Eine Herausforderung, wenn man in nicht so szenischer Konferenzraum ohne Mikrofon gedreht wird, aber danke, dass Sie Ihr Grant Park House & amp;Hunde !!!"
neutral,@krissysalisbury don't ask  Hoping that today will be an improvment on the rest of the week. Looking forward to the weekend weather!,Unklar,"@Krissysalisbury fragen nicht in der Hoffnung, dass heute eine Verbesserung des Restes der Woche sein wird.Ich freue mich auf das Wochenendwetter!"
neutral,my portfolio v2 uploaded! any comments and feedback are warmly welcomed!  http://www.maxiin.net/,Unklar,Mein Portfolio V2 wurde hochgeladen!Alle Kommentare und Feedback sind herzlich begrüßt!http://www.maxiin.net/
neutral,"No more pizza for Jamie? wtg  http://bit.ly/DVSCA (Britains got talent, sure has.)",Unklar,"Keine Pizza mehr für Jamie?wtg http://bit.ly/dvsca (Britains Got Talent, Sure hat.)"
neutral,Cats: unimpressed by thunderstorm. Dog: wishes @dataangel would come home,Unklar,Katzen: Unbeeindruckt durch Gewitter.Hund: Wünsche @DataAngel würde nach Hause kommen
neutral,Wish I lived in or atleast relatively close to Ohio!   Haven't seen @SmallTown_Troy or @Derk_McLoven in almost a year.,Unklar,"Ich wünschte, ich würde in oder mindestens relativ nahe in Ohio gelebt!Ich habe seit fast einem Jahr nicht mehr @smalltown_troy oder @derk_mcloven gesehen."
worry,@solangeknowles And that's what makes you an amAzing MOTHER  HAPPY MOTHERS DAY SOLO!! LUV YA!!,Angst,@Solange Knowles und das macht dich zu einer erstaunlichen Mutter Happy Mothers Day Solo !!LIEBE DICH!!
worry,Watching 5 children and it.  i really should be studying. I'll start soon :[,Angst,5 Kinder beobachten und es.Ich sollte wirklich studieren.Ich werde bald anfangen: [
neutral,@Jacket_Slut I'm leaving at half 10  but I have to get ready and things,Unklar,"@Jacket_Slut Ich gehe mit der Hälfte 10, aber ich muss mich fertig machen und Dinge"
worry,"presentations done, project done, 1 exam done, 3 exams to go!!! I turn 21 this Friday!",Angst,"Präsentationen erledigt, Projekt abgeschlossen, 1 Prüfung abgeschlossen, 3 Prüfungen zu gehen !!!Ich werde diesen Freitag 21 Jahre alt!"
love,@cecewhi92 That is one of my Favorite EVER!!!! He is THE BEST!! No doubt! I am so glad you like him too! XOXO,Vertrauen,"@Cecewhi92 Das ist einer meiner Favoriten überhaupt !!!!Er ist der Beste!!Kein Zweifel!Ich bin so froh, dass du ihn auch magst!Xoxo"
surprise,Was about to head downtown...now there's a flash flood!  - Photo: http://bkite.com/07XFs,Überraschung,War kurz vor der Innenstadt ... jetzt gibt es eine Sturzflut!- Foto: http://bkite.com/07xfs
neutral,@hannahdevonne Follow both because I don't know which one will send it. PS Dont get your hopes up because she may not sen it,Unklar,"@HannahdeVonne folgen Sie beiden, weil ich nicht weiß, welches es senden wird.PS Verpflichten Sie Ihre Hoffnungen nicht, weil sie es möglicherweise nicht sen"
sadness,"hey everyone, whats up? i got another hour and a half of work so tell me something you think i wouldnt know....this should be a good one",Traurigkeit,"Hey alle, was ist los?Ich habe noch eineinhalb Stunden Arbeit, also sag mir etwas, von dem du denkst, dass ich es nicht wissen würde ... das sollte gut sein"
sadness,"pff, Life sucks sometimes!",Traurigkeit,"PFF, das Leben saugt manchmal!"
love,@therealsavannah Today was fun  &lt;333,Vertrauen,@therealsavannah heute hat Spaß gemacht & lt; 333
