emotion_en,sentence_en,emotion_de,sentence_de
sadness,"sorry mum, will treat you well from now on",Traurigkeit,
hate,"i hate snoring. remind me if my future husband ever snores, we're getting a divorce.",Ekel,
surprise,"And I end up in privilege... Oh well, at least I met a cute engineer",Überraschung,
worry,Tasha's really bad haircut. She's being treated for skin cancer and is shaved from neck to tail.  http://twitpic.com/671zy,Angst,
sadness,I miss my mom..  &quot;May angels lead you in&quot;,Traurigkeit,
surprise,@laurenceobrien Thank you  xo,Überraschung,
surprise,The chicken noodle soup I made for lunch to feel better just burned my tongue . . .not a good day.,Überraschung,
worry,Being dragged round Ikea this morning  Bad times!,Angst,
happiness,seniors done  5 more days!! woohoo!! going out for the night.,Freude,
worry,"...wait, I lied.",Angst,
love,@jessie_ho i like the sound of that,Vertrauen,
neutral,@katyperry i think it's under a honeymoon by the good life -- either that or it's under a honey moon by joseph arthur.,Unklar,
happiness,"@shanellelee OOooOO -- no, I have not! Glad to hear it was incredible, though! I still have it bookmarked to try sometime",Freude,
happiness,@kelseyrose56 I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom? @nicolesx319 Can't wait for preprom!!!!,Freude,
happiness,mrskutcher &amp; aplusk you two are to funny!,Freude,
surprise,"@aussiecynic Blow me away it IS raining harder here. Yay you, well done",Überraschung,
neutral,@Yaelzraw fell asleep with techno songs on shuffle. Loud.  Its been on for hours. Im too lazy to go turn it off. He has like 800,Unklar,
worry,a bit worried...,Angst,
sadness,"Misses JP  I do not know what to do and iv given myself a headache thinking about it, just makes me want to cry",Traurigkeit,
worry,@StaceMichelle I doubt I'll get one to be honest,Angst,
worry,@Desert_Star95 oh so you know how I feel then  Damn representative for bank of america tried to make it sound like I did it. What a b ...,Angst,
happiness,"@andrewbravener Happy Birthday!  What's better than getting birthday greetings from strangers? Very little, that's what! (I kid!) &lt;3",Freude,
worry,"Damn, looks like the USB card reader that I got from Dealextreme doesn't work. I can see the files on the card but they are read only",Angst,
happiness,hollie steel  bless her. but go dreambears &lt;33333 hahahahaha,Freude,
love,@luannarodham nothing sweeter than YOUR 4-year-old!,Vertrauen,
